source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T09:00:42+00:00,900013,Palma,ES,2026-06-08,39.5625,2.625,Europe/Madrid,26.1,19.5,23.0,0.0,0.0,0.0,11.9
forecast,2026-06-08T09:00:42+00:00,900013,Palma,ES,2026-06-09,39.5625,2.625,Europe/Madrid,26.2,20.8,23.3,0.0,0.0,0.0,20.0
forecast,2026-06-08T09:00:42+00:00,900013,Palma,ES,2026-06-10,39.5625,2.625,Europe/Madrid,25.3,19.7,22.2,0.0,0.0,0.0,22.0
forecast,2026-06-08T09:00:42+00:00,900013,Palma,ES,2026-06-11,39.5625,2.625,Europe/Madrid,24.9,19.0,21.7,0.0,0.0,0.0,18.1
forecast,2026-06-08T09:00:42+00:00,900013,Palma,ES,2026-06-12,39.5625,2.625,Europe/Madrid,27.1,18.3,22.7,0.0,0.0,0.0,7.3
forecast,2026-06-08T09:00:42+00:00,900013,Palma,ES,2026-06-13,39.5625,2.625,Europe/Madrid,30.4,18.1,24.5,0.0,0.0,0.0,11.1
forecast,2026-06-08T09:00:42+00:00,900013,Palma,ES,2026-06-14,39.5625,2.625,Europe/Madrid,29.9,19.3,24.5,0.0,0.0,0.0,17.9
forecast,2026-06-08T09:00:42+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-08,28.084358,-15.457642,Atlantic/Canary,22.1,18.5,20.0,0.1,0.1,0.0,19.3
forecast,2026-06-08T09:00:42+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-09,28.084358,-15.457642,Atlantic/Canary,22.4,18.2,20.0,0.3,0.3,0.0,19.3
forecast,2026-06-08T09:00:42+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-10,28.084358,-15.457642,Atlantic/Canary,22.2,18.3,19.7,1.3,1.2,0.0,18.4
forecast,2026-06-08T09:00:42+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-11,28.084358,-15.457642,Atlantic/Canary,23.0,17.6,20.1,0.0,0.0,0.0,14.3
forecast,2026-06-08T09:00:42+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-12,28.084358,-15.457642,Atlantic/Canary,24.0,18.0,21.0,0.0,0.0,0.0,15.3
forecast,2026-06-08T09:00:42+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-13,28.084358,-15.457642,Atlantic/Canary,23.5,19.0,21.1,0.0,0.0,0.0,20.9
forecast,2026-06-08T09:00:42+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-14,28.084358,-15.457642,Atlantic/Canary,22.8,18.5,20.5,0.0,0.0,0.0,19.3
forecast,2026-06-08T09:00:42+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-08,28.50615,-16.279877,Atlantic/Canary,22.0,18.3,19.9,1.0,0.6,0.0,20.0
forecast,2026-06-08T09:00:42+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-09,28.50615,-16.279877,Atlantic/Canary,22.6,18.0,20.0,1.8,0.1,0.0,20.2
forecast,2026-06-08T09:00:42+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-10,28.50615,-16.279877,Atlantic/Canary,22.3,18.1,19.7,1.3,0.5,0.0,18.9
forecast,2026-06-08T09:00:42+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-11,28.50615,-16.279877,Atlantic/Canary,23.2,17.8,19.9,0.0,0.0,0.0,13.7
forecast,2026-06-08T09:00:42+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-12,28.50615,-16.279877,Atlantic/Canary,25.2,17.0,20.8,0.0,0.0,0.0,11.2
forecast,2026-06-08T09:00:42+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-13,28.50615,-16.279877,Atlantic/Canary,24.6,17.6,20.9,0.0,0.0,0.0,13.7
forecast,2026-06-08T09:00:42+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-14,28.50615,-16.279877,Atlantic/Canary,23.7,17.9,20.6,0.0,0.0,0.0,15.1
forecast,2026-06-08T09:00:42+00:00,900016,Santander,ES,2026-06-08,43.46,-3.8100004,Europe/Madrid,19.8,17.2,18.2,1.1,1.0,0.0,14.7
forecast,2026-06-08T09:00:42+00:00,900016,Santander,ES,2026-06-09,43.46,-3.8100004,Europe/Madrid,18.9,16.6,17.5,0.1,0.2,0.0,16.9
forecast,2026-06-08T09:00:42+00:00,900016,Santander,ES,2026-06-10,43.46,-3.8100004,Europe/Madrid,18.3,14.2,16.2,1.15,1.13,0.0,8.6
forecast,2026-06-08T09:00:42+00:00,900016,Santander,ES,2026-06-11,43.46,-3.8100004,Europe/Madrid,22.0,11.2,16.8,0.0,0.0,0.0,15.9
forecast,2026-06-08T09:00:42+00:00,900016,Santander,ES,2026-06-12,43.46,-3.8100004,Europe/Madrid,24.3,12.6,18.8,0.0,0.0,0.0,24.3
